Fold,Cluster,Features,Importance
1,1,d1_arterial_ph_avg,0.0401
1,2,d1_hemaglobin_avg,0.0103
1,2,d1_hematocrit_avg,0.0106
1,2,d1_potassium_avg,0.011
1,2,d1_sysbp_diff,0.0111
1,3,d1_lactate_avg,0.0896
1,4,d1_creatinine_diff,0.0065
1,4,d1_platelets_diff,0.0055
1,4,d1_potassium_diff,0.0054
1,4,icu_admit_source,0.0057
1,5,d1_creatinine_avg,0.0236
1,5,d1_hco3_avg,0.0226
1,5,d1_spo2_diff,0.0233
1,6,vent,0.0639
1,7,d1_wbc_avg,0.017
1,7,d1_arterial_ph_diff,0.0176
1,8,arf_apache,0.0005
1,8,aids,0.0002
1,8,cirrhosis,0.0005
1,8,diabetes_mellitus,0.0013
1,8,lymphoma,0.0002
1,8,solid_tumor_with_metastasis,0.0008
1,9,d1_spo2_avg,0.0285
1,9,d1_pao2fio2ratio_diff,0.0285
1,10,age,0.0149
1,10,d1_heartrate_avg,0.0148
1,10,d1_resprate_avg,0.0138
1,10,d1_arterial_pco2_avg,0.0143
1,10,d1_heartrate_diff,0.0141
1,10,d1_temp_diff,0.0147
1,10,d1_arterial_pco2_diff,0.0138
1,11,d1_bun_avg,0.0344
1,12,d1_sodium_avg,0.01
1,12,d1_calcium_avg,0.0098
1,12,d1_diasbp_diff,0.0092
1,12,d1_mbp_diff,0.0093
1,12,d1_resprate_diff,0.0091
1,12,d1_glucose_diff,0.0097
1,12,d1_inr_diff,0.0093
1,12,group,0.0093
1,12,elective_surgery,0.01
1,13,d1_sysbp_avg,0.0182
1,13,d1_temp_avg,0.018
1,13,d1_albumin_avg,0.018
1,13,d1_arterial_po2_avg,0.0181
1,13,d1_pao2fio2ratio_avg,0.0187
1,13,d1_lactate_diff,0.0184
1,14,dcs_group,0.043
1,15,dx_class,0.0203
1,15,dx_sub,0.0196
1,16,d1_diasbp_avg,0.0114
1,16,d1_bilirubin_avg,0.012
1,16,d1_platelets_avg,0.0122
1,17,d1_inr_avg,0.0381
1,18,d1_albumin_diff,0.0073
1,18,d1_bilirubin_diff,0.0079
1,19,d1_bun_diff,0.0049
1,19,d1_hco3_diff,0.0047
1,19,d1_hemaglobin_diff,0.0051
1,19,d1_hematocrit_diff,0.0053
1,19,d1_sodium_diff,0.0049
1,19,d1_calcium_diff,0.0051
1,19,d1_wbc_diff,0.0053
1,20,d1_mbp_avg,0.0126
1,20,d1_glucose_avg,0.0135
1,20,d1_arterial_po2_diff,0.013
2,1,d1_inr_avg,0.0417
2,1,d1_arterial_ph_avg,0.0427
2,2,d1_diasbp_avg,0.0109
2,2,d1_hemaglobin_avg,0.0105
2,2,d1_hematocrit_avg,0.0105
2,2,d1_potassium_avg,0.011
2,2,d1_sodium_avg,0.0103
2,3,d1_lactate_avg,0.1075
2,4,d1_spo2_avg,0.0267
2,5,d1_bun_diff,0.0053
2,5,d1_hco3_diff,0.0049
2,5,d1_hemaglobin_diff,0.0051
2,5,d1_hematocrit_diff,0.0052
2,5,d1_platelets_diff,0.0053
2,5,d1_potassium_diff,0.0055
2,5,d1_sodium_diff,0.0051
2,5,d1_calcium_diff,0.0053
2,5,d1_wbc_diff,0.0052
2,5,icu_admit_source,0.0057
2,6,d1_sysbp_avg,0.0168
2,6,d1_albumin_avg,0.017
2,6,d1_hco3_avg,0.0168
2,6,d1_arterial_po2_avg,0.017
2,6,d1_heartrate_diff,0.0168
2,6,d1_lactate_diff,0.0172
2,6,d1_arterial_ph_diff,0.0168
2,7,vent,0.055
2,8,arf_apache,0.0006
2,8,aids,0.0001
2,8,cirrhosis,0.0004
2,8,diabetes_mellitus,0.0015
2,8,lymphoma,0.0003
2,8,solid_tumor_with_metastasis,0.0008
2,9,d1_mbp_avg,0.0126
2,9,d1_resprate_avg,0.013
2,9,d1_bilirubin_avg,0.0127
2,9,d1_platelets_avg,0.0124
2,9,d1_sysbp_diff,0.0116
2,10,d1_bun_avg,0.0331
2,11,d1_creatinine_avg,0.0247
2,12,dcs_group,0.0392
2,13,d1_diasbp_diff,0.0092
2,13,d1_inr_diff,0.009
2,13,group,0.0089
2,13,elective_surgery,0.0092
2,14,d1_temp_avg,0.018
2,14,d1_wbc_avg,0.0177
2,14,d1_pao2fio2ratio_avg,0.0182
2,14,dx_class,0.0182
2,14,dx_sub,0.0191
2,15,age,0.015
2,15,d1_heartrate_avg,0.0146
2,15,d1_temp_diff,0.0155
2,16,d1_spo2_diff,0.0224
2,17,d1_pao2fio2ratio_diff,0.0293
2,18,d1_albumin_diff,0.0075
2,18,d1_bilirubin_diff,0.0078
2,18,d1_creatinine_diff,0.0068
2,19,d1_glucose_avg,0.0134
2,19,d1_arterial_pco2_avg,0.0136
2,19,d1_arterial_pco2_diff,0.0136
2,19,d1_arterial_po2_diff,0.0135
2,20,d1_calcium_avg,0.0096
2,20,d1_mbp_diff,0.0096
2,20,d1_resprate_diff,0.0095
2,20,d1_glucose_diff,0.0097
3,1,d1_inr_avg,0.0422
3,1,d1_arterial_ph_avg,0.0429
3,1,dcs_group,0.0424
3,2,d1_hemaglobin_avg,0.0105
3,2,d1_hematocrit_avg,0.0105
3,2,d1_sodium_avg,0.01
3,2,group,0.0102
3,3,d1_lactate_avg,0.0998
3,4,arf_apache,0.0005
3,4,aids,0.0002
3,4,cirrhosis,0.0004
3,4,lymphoma,0.0003
3,4,solid_tumor_with_metastasis,0.0006
3,5,d1_creatinine_avg,0.0199
3,5,d1_spo2_diff,0.021
3,5,d1_lactate_diff,0.0194
3,5,d1_arterial_ph_diff,0.0194
3,5,dx_class,0.0204
3,5,dx_sub,0.0198
3,6,d1_bun_diff,0.0051
3,6,d1_hco3_diff,0.0055
3,6,d1_hemaglobin_diff,0.005
3,6,d1_hematocrit_diff,0.0051
3,6,d1_platelets_diff,0.0052
3,6,d1_potassium_diff,0.0055
3,6,d1_sodium_diff,0.0052
3,6,d1_calcium_diff,0.0055
3,6,d1_wbc_diff,0.0055
3,6,icu_admit_source,0.0057
3,7,d1_spo2_avg,0.0303
3,8,vent,0.0555
3,9,d1_resprate_avg,0.0135
3,9,d1_arterial_pco2_avg,0.014
3,9,d1_temp_diff,0.0139
3,9,d1_arterial_po2_diff,0.0132
3,10,d1_bun_avg,0.0353
3,11,d1_arterial_po2_avg,0.0163
3,12,d1_albumin_diff,0.0073
3,12,d1_bilirubin_diff,0.0077
3,12,d1_creatinine_diff,0.0071
3,12,elective_surgery,0.0084
