Fold,Cluster,Features,Importance
1,cluster1,d1_arterial_ph_avg,0.0652
1,cluster2,dcs_group,0.3181
1,cluster3,d1_diasbp_diff,0.0073
1,cluster3,d1_albumin_diff,0.0051
1,cluster3,d1_bilirubin_diff,0.0053
1,cluster3,d1_bun_diff,0.0055
1,cluster3,d1_creatinine_diff,0.0071
1,cluster3,d1_hemaglobin_diff,0.005
1,cluster3,d1_hematocrit_diff,0.0071
1,cluster3,d1_potassium_diff,0.0051
1,cluster4,d1_heartrate_avg,0.1163
1,cluster4,d1_resprate_avg,0.1163
1,cluster4,dx_class,0.1117
1,cluster4,elective_surgery,0.1197
1,cluster5,d1_lactate_avg,0.4478
1,cluster6,d1_mbp_avg,0.0413
1,cluster6,d1_glucose_avg,0.0372
1,cluster6,d1_platelets_avg,0.0392
1,cluster6,d1_sodium_avg,0.0393
1,cluster6,d1_sysbp_diff,0.0351
1,cluster6,d1_arterial_ph_diff,0.0375
1,cluster6,icu_admit_source,0.034
1,cluster6,diabetes_mellitus,0.0392
1,cluster7,d1_bun_avg,0.2438
1,cluster8,age,0.1717
1,cluster9,d1_sysbp_avg,0.0916
1,cluster10,d1_hemaglobin_avg,0.0192
1,cluster10,d1_hematocrit_avg,0.0184
1,cluster10,d1_calcium_avg,0.0195
1,cluster10,d1_arterial_pco2_avg,0.0161
1,cluster10,d1_resprate_diff,0.0181
1,cluster10,d1_platelets_diff,0.0186
1,cluster10,solid_tumor_with_metastasis,0.0171
1,cluster11,d1_creatinine_avg,0.048
1,cluster11,d1_arterial_po2_avg,0.045
1,cluster11,d1_heartrate_diff,0.0505
1,cluster11,d1_spo2_diff,0.0476
1,cluster11,d1_arterial_po2_diff,0.0461
1,cluster12,vent,0.4288
1,cluster13,d1_temp_avg,0.0761
1,cluster13,d1_albumin_avg,0.0756
1,cluster13,d1_pao2fio2ratio_avg,0.0739
1,cluster13,d1_pao2fio2ratio_diff,0.08
1,cluster14,d1_spo2_avg,0.1251
1,cluster14,d1_wbc_avg,0.1264
1,cluster14,group,0.1259
1,cluster15,d1_bilirubin_avg,0.0271
1,cluster15,d1_sodium_diff,0.0282
1,cluster15,d1_arterial_pco2_diff,0.0305
1,cluster16,d1_inr_avg,0.1366
1,cluster17,arf_apache,0.0003
1,cluster17,aids,0.0001
1,cluster17,cirrhosis,0.0003
1,cluster17,lymphoma,0
1,cluster18,d1_mbp_diff,0.0116
1,cluster18,d1_glucose_diff,0.0093
1,cluster18,d1_hco3_diff,0.0099
1,cluster18,d1_inr_diff,0.0083
1,cluster18,d1_calcium_diff,0.0084
1,cluster18,d1_wbc_diff,0.0087
1,cluster19,d1_diasbp_avg,0.0224
1,cluster19,d1_hco3_avg,0.0212
1,cluster19,d1_potassium_avg,0.0218
1,cluster19,d1_lactate_diff,0.0221
1,cluster20,d1_temp_diff,0.0596
1,cluster20,dx_sub,0.0581
2,cluster1,d1_temp_avg,0.0773
2,cluster1,d1_albumin_avg,0.0711
2,cluster1,d1_arterial_ph_avg,0.0773
2,cluster2,vent,0.4062
2,cluster3,d1_mbp_diff,0.0113
2,cluster3,d1_albumin_diff,0.0078
2,cluster3,d1_bun_diff,0.0075
2,cluster3,d1_hematocrit_diff,0.009
2,cluster3,d1_inr_diff,0.0075
2,cluster3,d1_platelets_diff,0.0104
2,cluster3,d1_potassium_diff,0.0082
2,cluster3,d1_calcium_diff,0.0076
2,cluster3,solid_tumor_with_metastasis,0.0116
2,cluster4,dcs_group,0.3009
2,cluster5,d1_heartrate_avg,0.1048
2,cluster5,d1_resprate_avg,0.1032
2,cluster5,d1_spo2_avg,0.1076
2,cluster5,elective_surgery,0.1076
2,cluster6,d1_inr_avg,0.1459
2,cluster7,d1_mbp_avg,0.0351
2,cluster7,d1_bilirubin_avg,0.0361
2,cluster7,d1_sodium_avg,0.0336
2,cluster7,d1_sysbp_diff,0.0407
2,cluster7,d1_arterial_ph_diff,0.0337
2,cluster7,diabetes_mellitus,0.0389
2,cluster8,d1_lactate_avg,0.4524
2,cluster9,d1_bun_avg,0.2619
2,cluster10,d1_platelets_avg,0.0454
2,cluster10,d1_arterial_po2_avg,0.0448
2,cluster10,d1_spo2_diff,0.0469
2,cluster11,d1_pao2fio2ratio_avg,0.0628
2,cluster11,d1_heartrate_diff,0.0615
2,cluster11,d1_temp_diff,0.0626
2,cluster11,dx_sub,0.0586
2,cluster12,d1_hemaglobin_avg,0.0211
2,cluster12,d1_calcium_avg,0.024
2,cluster12,d1_resprate_diff,0.0202
2,cluster12,d1_lactate_diff,0.0214
2,cluster13,age,0.1727
2,cluster14,arf_apache,0.0014
2,cluster14,aids,0.0005
2,cluster14,cirrhosis,0
2,cluster14,lymphoma,0
2,cluster15,d1_sysbp_avg,0.0869
2,cluster15,d1_pao2fio2ratio_diff,0.0892
2,cluster15,dx_class,0.0852
2,cluster16,d1_hco3_avg,0.0163
2,cluster16,d1_hematocrit_avg,0.0144
2,cluster16,d1_potassium_avg,0.0183
2,cluster16,d1_arterial_pco2_avg,0.0132
2,cluster16,d1_diasbp_diff,0.0181
2,cluster16,d1_glucose_diff,0.0145
2,cluster17,d1_wbc_avg,0.1173
2,cluster18,d1_diasbp_avg,0.0263
2,cluster18,d1_creatinine_avg,0.0322
2,cluster18,d1_glucose_avg,0.0282
2,cluster18,d1_sodium_diff,0.0301
2,cluster18,d1_arterial_pco2_diff,0.0308
2,cluster18,d1_arterial_po2_diff,0.0277
2,cluster18,icu_admit_source,0.0298
2,cluster19,group,0.1359
2,cluster20,d1_bilirubin_diff,0.0051
2,cluster20,d1_creatinine_diff,0.0057
2,cluster20,d1_hco3_diff,0.0053
2,cluster20,d1_hemaglobin_diff,0.0054
2,cluster20,d1_wbc_diff,0.0041
3,cluster1,d1_arterial_ph_avg,0.0588
3,cluster1,diabetes_mellitus,0.0618
3,cluster2,dcs_group,0.2874
3,cluster3,d1_albumin_diff,0.0092
3,cluster3,d1_bilirubin_diff,0.0074
3,cluster3,d1_creatinine_diff,0.0095
3,cluster3,d1_glucose_diff,0.0107
3,cluster3,d1_hco3_diff,0.0084
3,cluster3,d1_hemaglobin_diff,0.0102
3,cluster3,d1_hematocrit_diff,0.0073
3,cluster3,d1_inr_diff,0.0093
3,cluster3,d1_platelets_diff,0.0103
3,cluster3,d1_potassium_diff,0.0082
3,cluster3,d1_calcium_diff,0.009
3,cluster3,solid_tumor_with_metastasis,0.0093
3,cluster4,d1_heartrate_avg,0.1101
3,cluster4,d1_resprate_avg,0.1155
3,cluster4,d1_spo2_avg,0.1172
3,cluster4,d1_pao2fio2ratio_diff,0.1142
3,cluster4,dx_class,0.1134
3,cluster5,d1_lactate_avg,0.4406
3,cluster6,d1_glucose_avg,0.0335
3,cluster6,d1_sodium_avg,0.0371
3,cluster6,d1_sysbp_diff,0.032
3,cluster6,d1_lactate_diff,0.0335
3,cluster6,d1_sodium_diff,0.0334
3,cluster6,d1_arterial_ph_diff,0.034
3,cluster6,d1_arterial_po2_diff,0.0373
3,cluster7,age,0.1784
3,cluster8,d1_inr_avg,0.1391
3,cluster8,d1_wbc_avg,0.139
3,cluster8,group,0.1423
3,cluster9,d1_temp_avg,0.0962
3,cluster9,elective_surgery,0.1023
3,cluster10,d1_diasbp_avg,0.0263
3,cluster10,d1_hco3_avg,0.0238
3,cluster10,d1_hematocrit_avg,0.0238
