Fold,Cluster,Feature,Importance
1,1,apache_2_diagnosis,0.0161
1,1,d1_arterial_po2_min,0.0159
1,1,d1_diasbp_min,0.0162
1,1,d1_glucose_max,0.0162
1,1,d1_glucose_min,0.0157
1,1,d1_heartrate_min,0.0157
1,2,d1_lactate_min,0.06
1,3,arf_apache,0.0007
1,3,cirrhosis,0.0008
1,3,elective_surgery,0.0012
1,3,solid_tumor_with_metastasis,0.0006
1,3,ventilated_apache,0.0013
1,4,apache_3j_diagnosis,0.0319
1,5,d1_calcium_max,0.0105
1,5,d1_calcium_min,0.0109
1,5,d1_potassium_max,0.0104
1,5,d1_potassium_min,0.0105
1,5,d1_resprate_min,0.0104
1,5,d1_sodium_min,0.0106
1,6,d1_pao2fio2ratio_min,0.025
1,6,d1_spo2_min,0.0255
1,7,d1_bilirubin_min,0.0132
1,7,d1_bun_min,0.0133
1,7,d1_diasbp_max,0.0128
1,7,d1_hco3_max,0.0126
1,7,d1_hematocrit_max,0.013
1,8,d1_hco3_min,0.0185
1,8,d1_inr_min,0.0181
1,8,d1_mbp_min,0.0178
1,8,d1_pao2fio2ratio_max,0.0177
1,8,d1_sysbp_min,0.018
1,9,d1_arterial_ph_max,0.0167
1,9,d1_bun_max,0.0171
1,9,d1_creatinine_min,0.0165
1,9,d1_heartrate_max,0.0163
1,9,d1_temp_max,0.0166
1,10,gcs_verbal_apache,0.0048
1,10,icu_admit_source,0.0038
1,11,d1_lactate_max,0.0568
1,12,d1_albumin_max,0.0114
1,12,d1_albumin_min,0.012
1,12,d1_arterial_pco2_min,0.0118
1,12,d1_hemaglobin_max,0.0115
1,12,d1_hemaglobin_min,0.0117
1,12,d1_hematocrit_min,0.0115
1,12,d1_resprate_max,0.0124
1,12,d1_sodium_max,0.0123
1,13,d1_bilirubin_max,0.0142
1,13,d1_platelets_max,0.0146
1,13,d1_platelets_min,0.0145
1,13,d1_wbc_min,0.015
1,13,gcs_eyes_apache,0.0142
1,14,d1_spo2_max,0.0027
1,14,diabetes_mellitus,0.0022
1,15,d1_creatinine_max,0.0193
1,15,gcs_motor_apache,0.0202
1,16,d1_inr_max,0.0299
1,17,d1_arterial_ph_min,0.0335
1,18,age,0.0139
1,18,d1_arterial_pco2_max,0.0139
1,18,d1_arterial_po2_max,0.0137
1,18,d1_mbp_max,0.0135
1,18,d1_sysbp_max,0.0138
1,18,d1_wbc_max,0.0137
1,19,aids,0.0001
1,19,gcs_unable_apache,0
1,19,lymphoma,0.0003
1,20,d1_temp_min,0.0326
2,1,d1_arterial_po2_min,0.0154
2,1,d1_glucose_max,0.0157
2,1,d1_glucose_min,0.0152
2,1,d1_heartrate_max,0.0156
2,1,d1_heartrate_min,0.0161
2,1,d1_wbc_min,0.0155
2,2,d1_lactate_min,0.0629
2,3,aids,0.0002
2,3,arf_apache,0.0005
2,3,cirrhosis,0.0006
2,3,gcs_unable_apache,0
2,3,lymphoma,0.0003
